Date,Dressing Tandoor,Tandoori,Spl Leg,Boneless,Full Leg,Wings,Boiler,Egg
06/02/25,0,10,15,5,0,0,0,150
07/02/25,0,0,5,6,3.15,0,0,0
08/02/25,0,10.8,18,5,0,2,0,0
09/02/25,0,0,6,5,0,3,3.9,210
10/02/25,0,10.1,15,5,0,0,0,0
11/02/25,0,0,5.1,3,0,3,0,0
12/02/25,0,11.1,12.2,5,0,0,0,0
13/02/25,0,0,15,4,3.35,2,0,0
14/02/25,0,0,5.1,3,0,0,0,150
15/02/25,0,9.85,20,3,0,3,0,0
16/02/25,0,9.78,10,5.4,0,1.2,0,0
17/02/25,0,8.25,3.2,3,0,0,0,150
18/02/25,0,0,5,3,0,0,0,0
19/02/25,0,4.75,6.15,4,0,3,0,0
20/02/25,0,4.7,10.2,5,3.35,2,,
21/02/25,0,5,18.2,3,0,0,0,0
22/02/25,0,0,8,5,0,0,0,0
23/02/25,0,5.5,3,5,0,3,3.45,0
24/02/25,0,7.6,10,3,3.5,0,0,0
25/02/25,0,0,3.1,2,0,0,0,
26/02/25,0,0,0,0,0,0,0,0
27/02/25,0,18.6,16,6,0,2,0,0
28/02/25,0,25,15,8,0,4,0,150
01/03/25,0,18.4,18,13,0,3,0,0
02/03/25,0,29.5,20,8,0,2,0,150
03/03/25,0,19.6,20,4,3.2,0,0,0
04/03/25,0,0,10.2,5,0,0,0,0
05/03/25,0,16.3,10.3,8,0,5,0,0
06/03/25,0,33.3,25,6,0,2,0,0
07/03/25,0,5.1,12,6,0,0,0,0
08/03/25,0,9.9,12.2,8,0,4,0,240
09/03/25,0,20,20,8,0,3,3.9,0
10/03/25,0,11,15,8,0,3,0,0
11/03/25,0,4.8,16.2,5,0,0,0,180
12/03/25,0,5.95,10,8,0,0,0,0
13/03/25,0,31.1,25,8,2.2,8,0,240
14/03/25,0,0,3,5,0,0,0,0
15/03/25,0,0,22,12,0,6,0,0
16/03/25,0,16.5,3.2,8,0,0,0,0
17/03/25,0,0,10,6,0,0,3,210
18/03/25,0,6,3.2,4,0,0,0,0
19/03/25,0,0,10,5,2,3,0,0
20/03/25,0,14.9,3.2,3,0,0,0,90
21/03/25,0,0,12,10,0,0,0,0
22/03/25,0,19.9,25,10,1.9,3,0,180
23/03/25,0,11,15,8,0,3,0,0
24/03/25,0,0,3,8,0,2,3,0
25/03/25,0,10.6,8.1,3,2.2,0,0,0
26/03/25,0,10.5,8.2,8,0,0,0,210
27/03/25,0,11.3,18.3,8,2.9,2,0,0
28/03/25,0,0,8.2,2,0,2,0,0
29/03/25,0,10.7,15,3,0,2,0,150
30/03/25,0,4.5,5.1,4,0,0,0,0
31/03/25,0,0,2.15,5,0,0,3.75,0
01/04/25,0,19.85,12.2,4,2,2,0,0
02/04/25,0,0,3.1,2,0,0,0,120
03/04/25,0,10.9,3.1,4,0,0,0,0
04/04/25,0,0,15,6,0,3,0,0
05/04/25,0,10.5,5,2,0,0,0,0
06/04/25,0,0,10,4,0,0,2.4,0
07/04/25,0,8.4,10,7,2.45,0,0,150
08/04/25,0,0,15.3,5,0,0,0,0
09/04/25,0,11,5,5,0,2,0,150
10/04/25,0,0,20.3,5,0,2,0,0
11/04/25,0,11.5,5.1,5,1.95,0,0,0
12/04/25,0,0,10.1,5,0,2,0,0
13/04/25,0,11.1,5.2,4,0,0,2.35,0
14/04/25,0,0,11,4,0,3,0,180
15/04/25,0,0,10.2,2,0,0,0,0
16/04/25,0,11.6,10.1,5,0,2,0,0
17/04/25,0,0,15,3,2.1,0,0,0
18/04/25,0,0,5.1,4,2,0,0,0
19/04/25,0,0,7,3,0,0,0,150
20/04/25,0,0,7,6,2.2,0,2.55,0
21/04/25,0,10.4,15,5,0,2,0,0
22/04/25,0,11.2,5.15,3,0,0,0,0
23/04/25,0,0,0,5,0,0,0,0
24/04/25,0,0,10.25,3,0,0,0,0
25/04/25,0,0,5,3,0,2,0,150
26/04/25,0,8.7,20,5,0,4,0,0
27/04/25,0,9.6,10,4,2,0,2.5,0
28/04/25,0,4.85,7.2,4,0,0,0,0
29/04/25,0,10.2,5,4,0,0,0,0
30/04/25,0,0,15,5,0,0,0,150
01/05/25,0,10.1,5,3,0,2,0,0
02/05/25,0,0,20.3,7,0,2,0,150
03/05/25,0,9.65,5,5,2.6,0,0,0
04/05/25,0,10.25,15,7,0,4,3,90
05/05/25,0,10.75,5.25,5,0,0,0,0
06/05/25,0,0,10.1,3,0,2,0,90
07/05/25,0,4.9,5,5,0,0,0,0
08/05/25,0,9.9,10.1,3,0,2,0,0
09/05/25,0,0,10,4,0,0,0,0
10/05/25,0,4.8,7.2,0,0,4,0,0
11/05/25,0,4.75,10,0,2.35,2,0,150
12/05/25,0,5.3,15,0,0,0,2.5,0
13/05/25,0,0,5,0,0,0,0,0
14/05/25,0,7.85,10.2,3,0,2,0,0
15/05/25,0,5.3,15,0,0,2,0,150
16/05/25,0,5.4,5,2,0,0,0,0
17/05/25,0,6.5,15.2,5,2.25,2,0,0
18/05/25,0,0,0,5,0,0,0,0
19/05/25,0,4.4,15.25,5,0,2,2.52,150
20/05/25,0,0,5.25,5,0,0,0,0
21/05/25,0,0,0,0,0,0,0,0
22/05/25,0,5.4,15.2,4,2.35,2,0,150
23/05/25,0,4.55,15.1,5,0,2,0,0
24/05/25,0,8.15,5.1,5,2.2,0,0,0
25/05/25,0,0,5,0,0,3,0,0
26/05/25,0,9.5,10.1,2,0,0,0,150
27/05/25,0,0,0,0,0,0,0,0
28/05/25,0,0,10,5,0,3,0,0
29/05/25,0,9.2,10,3,0,0,0,150
30/05/25,0,0,10.25,5,3.5,2,0,0
31/05/25,0,5.5,15.3,5,0,0,0,0
01/06/25,0,10.7,15,6,0,4,3.2,90
02/06/25,0,0,5,5,0,2,0,0
03/06/25,0,4.9,15,5,3.3,0,0,0
04/06/25,0,0,0,5,0,2,0,0
05/06/25,0,10.5,15,5,3.5,0,0,0
06/06/25,0,10.65,25.2,5,0,2,0,180
07/06/25,0,0,5,5,0,2,0,0
08/06/25,0,10.8,5,7,0,3,0,0
09/06/25,0,5.15,10,5,0,5,0,0
10/06/25,0,0,10.3,3,0,0,0,0
11/06/25,0,5.7,15,5,2.7,0,0,0
12/06/25,0,4.95,5.25,5,0,0,0,150
13/06/25,0,5.3,10.25,5,2.5,0,0,0
14/06/25,0,4.85,5.1,4,3,3,0,0
15/06/25,0,9.4,15,3,0,2,0,150
16/06/25,0,0,0,0,0,0,0,0
17/06/25,0,5.5,10.15,4,2.1,0,0,0
18/06/25,0,0,5.25,5,,2,2.65,0
19/06/25,0,8.9,15,5,0,0,0,0
20/06/25,0,0,10.2,5,0,3,0,0
21/06/25,0,11.4,10,5,0,2,0,180
22/06/25,0,0,5.3,5,3,0,0,0
23/06/25,0,10,10.3,5,0,2,2.85,0
24/06/25,0,0,5,15,3.1,0,0,0
25/06/25,0,10,20.1,5,0,2,0,0
26/06/25,0,0,5.1,5,3.1,3,0,180
27/06/25,0,9.8,15.1,4,0,0,0,0
28/06/25,0,5.4,15.3,5,0,0,0,0
29/06/25,0,11.52,10,6,2.9,3,0,0
30/06/25,0,9.5,5,6,0,0,2.7,150
01/07/25,0,0,5.15,0,0,0,0,0
02/07/25,0,10.1,15.2,7,0,0,0,0
03/07/25,0,0,10,4,0,0,0,0
04/07/25,0,4.8,20,0,3.15,2,0,0
05/07/25,0,0,0,5,0,0,0,0
06/07/25,0,8.5,15.1,8,0,3,0,150
07/07/25,0,0,5,6,0,0,0,0
08/07/25,0,9.2,15,0,0,2,3.5,0
09/07/25,0,9.55,5.15,6,0,2,0,0
10/07/25,0,8.81,20.1,2,0,4,0,150
11/07/25,0,5.4,0,6,0,0,0,0
12/07/25,0,7.95,25,7,3,3,0,0
13/07/25,0,9.3,7.2,6,0,0,0,0
14/07/25,0,8.8,10,0,3.15,0,2.5,0
15/07/25,0,0,5.2,5,0,0,0,180
16/07/25,0,0,0,5,0,2,0,0
17/07/25,0,0,15.35,5,0,2,0,0
18/07/25,0,5.15,5,2,0,0,0,0
19/07/25,0,7.6,5.25,2,0,2,0,180
20/07/25,0,5.3,15,6,,,,0
21/07/25,0,8.6,10,6,3,3,3.1,0
22/07/25,0,0,0,0,0,0,0,0
23/07/25,0,0,10.2,6,0,0,0,0
24/07/25,0,9.8,15,0,0,2,0,0
25/07/25,0,9.6,5,6,0,3,0,0
26/07/25,0,0,15,7,0,0,0,0
27/07/25,0,0,0,0,0,0,0,0
28/07/25,0,0,2.1,0,0,0,2.6,0
29/07/25,0,0,5.15,1,2.9,0,0,0
30/07/25,0,0,0,0,0,0,0,0
31/07/25,0,0,5,2,0,0,0,0
01/08/25,4.3,0,5.1,2,0,1,0,0
02/08/25,5.98,0,10,2,,,,
03/08/25,0,0,5.1,2,,0,0,150
04/08/25,9.35,0,10.2,3,,1,2.75,
05/08/25,0,,,,,,,
06/08/25,0,0,0,,,,,
07/08/25,0,0,3,3,,,,
08/08/25,9.1,0,10.1,5,,,,
09/08/25,0,0,3.15,3,,2,,150
10/08/25,0,,3.25,5,,2.65,,
11/08/25,0,0,12,5,,,,
12/08/25,4.9,0,0,2,,,,
13/08/25,0,0,5,,0,,,
14/08/25,4.68,,10,2,,2,,
15/08/25,9.9,,5,5,0,,,
16/08/25,8.3,,7,2,,,,
17/08/25,0,,5.4,5,3.1,,,
18/08/25,0,0,5,2,,,2.65,
19/08/25,7.3,0,5,2,,2,,
20/08/25,0,,,,,,,
21/08/25,4.5,,10,5,,,,
22/08/25,,,5.35,2,,,,
23/08/25,13.4,,15,6,,2,,
24/08/25,9.1,,5.3,3,,2,3.9,
25/08/25,,,10,4,,1,,
26/08/25,4.7,,5.2,,,,,
27/08/25,9.1,,3,3,,,,
28/08/25,,,5,2,,1,,
29/08/25,4.35,,6,5,,,,
30/08/25,0,,,,,,,
31/08/25,0,,,,,,,
01/09/25,0,,3,1,,,,
02/09/25,0,9.7,5.15,2,,,,
03/09/25,0,,3,1,,,,
04/09/25,0,21.6,20.25,5,,2,,
05/09/25,0,,,,,,,
06/09/25,0,,5.3,4,,2,,
07/09/25,,8.7,5,3,,,,
08/09/25,,,10.2,4,,1,,
09/09/25,,,5.1,2,,,,
10/09/25,,10.4,10.1,4,,1,,
11/09/25,,,,,,,,
12/09/25,,10.3,15.2,5,2.3,3,,
13/09/25,,4.9,5.4,3,,,,
14/09/25,5.1,0,4,4,,3,,
15/09/25,0,5,10.1,0,0,0,0,0
